epoch,train_accu,train_loss,valid_accu,valid_loss
1,0.7987141444114738,0.031410713751020114,0.766798418972332,0.041003888156338646
2,0.9436201780415431,0.006989480346315987,0.8735177865612648,0.02501111622649455
3,0.973293768545994,0.003250337891192217,0.9762845849802372,0.0031501024928341508
4,0.9831849653808111,0.0019331832693173052,0.958498023715415,0.015283654550672049
5,0.9896142433234422,0.0012291527543107322,0.9881422924901185,0.0028053432566816864
6,0.9891196834817013,0.0014192153373594983,0.9861660079051383,0.004680908599816881
7,0.990108803165183,0.0010974713313069958,0.9861660079051383,0.00197716411424013
8,0.9871414441147379,0.0016327722883416186,0.9762845849802372,0.004173439971572561
9,0.9881305637982196,0.001155910167141157,0.9782608695652174,0.002683501447672429
10,0.9856577645895154,0.0016182017576872462,0.9901185770750988,0.0026466145783868938
11,0.990108803165183,0.0009889543251895357,0.9841897233201581,0.00438659882040422
12,0.9915924826904056,0.0009199014110522921,0.9841897233201581,0.002557820007352254
13,0.990108803165183,0.0008801387826305042,0.9881422924901185,0.0022124140330115442
14,0.9940652818991098,0.0007609313551491287,0.9920948616600791,0.0024273056636303072
